Oceania-South America,10194
Asia-Asia,9523203
Not relevant/available-Not relevant/available,402
Africa-Europe,967786
Not relevant/available-Europe,3
Europe-North America,1560330
Africa-North America,178517
Oceania-Africa,14231
North America-Oceania,176459
Europe-Europe,14060143
Europe-Oceania,228959
South America-Europe,352902
South America-Oceania,16535
Oceania-Asia,217022
South America-Asia,41376
Europe-Asia,1657308
Not relevant/available-Oceania,7
Asia-Africa,483238
South America-North America,406738
Asia-North America,1208492
North America-Europe,1797031
South America-South America,2903267
Africa-South America,12424
Africa-Oceania,24783
Africa-Africa,1586297
Europe-Not relevant/available,8
Oceania-Oceania,1911141
Asia-Oceania,480351
Europe-South America,388944
Asia-Europe,2711770
Asia-South America,84067
North America-Africa,132079
Africa-Asia,418720
Oceania-North America,91834
Europe-Africa,475940
North America-Asia,818673
South America-Africa,10528
Oceania-Not relevant/available,51
North America-North America,18777187
North America-Not relevant/available,14
North America-South America,888075
Oceania-Europe,226265
