,dep_city,arr_city,dep_lat,dep_lng,arr_lat,arr_lng
0,MAD,TUC,40.493556,-3.566764,-26.840861,-65.104944
1,MAD,TRS,40.493556,-3.566764,45.82279,13.48464
2,MAD,TAM,40.493556,-3.566764,22.29645,-97.865931
3,MAD,SAO,40.493556,-3.566764,-23.55,-46.65
4,MAD,MEX,40.493556,-3.566764,19.436303,-99.072097
5,MAD,DTT,40.493556,-3.566764,42.33143,-83.04575
6,MAD,CPT,40.493556,-3.566764,-33.964806,18.601667
7,MAD,WNZ,40.493556,-3.566764,27.9122,120.852
8,MAD,BHZ,40.493556,-3.566764,-19.92083,-43.93778
9,MAD,BEY,40.493556,-3.566764,33.820931,35.488389
